customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
-2.58648e+18,Champions,Make Up,Store,85.9,1102.68,1290.99,25,Category and channel aligned
-7.83314e+18,Champions,Make Up,Store,85.9,957.77,874.77,14,Category and channel aligned
8.12341e+18,Champions,Make Up,Store,85.9,922.45,764.6,22,Category and channel aligned
-8.25414e+18,Champions,Make Up,Estore,85.9,844.24,726.72,16,Category aligned
5.06091e+18,Champions,Make Up,Store,85.9,809.95,712.75,0,Category and channel aligned
7.15215e+18,Champions,Make Up,Store,85.9,791.8199999999999,644.0699999999999,23,Category and channel aligned
-7.36754e+18,Loyal,Haircare,Store,85.9,782.95,696.19,33,Channel aligned
9.07805e+18,Champions,Make Up,Estore,85.9,782.15,690.8,10,Category aligned
-1.42103e+17,Champions,Mixed Basket (Make Up + 1 others),Store,85.9,764.25,661.8,24,Channel aligned
3.62561e+18,At Risk,Mixed Basket (Make Up + 6 others),Store,85.9,756.8,756.8,147,Channel aligned
-7.56862e+17,Champions,Make Up,Store,85.9,722.92,633.4499999999999,0,Category and channel aligned
-8.7231e+17,Champions,Skincare,Estore,85.9,706.8100000000001,544.9100000000001,11,New pattern to test
-2.86751e+18,Champions,Skincare,Store,85.9,699.27,610.93,7,Channel aligned
3.45252e+18,Champions,Skincare,Store,85.9,693.95,626.95,10,Channel aligned
6.374e+18,Champions,Skincare,Store,85.9,678.58,631.6800000000001,11,Channel aligned
-6.90624e+18,Loyal,Make Up,Estore,85.9,664.9599999999999,605.18,9,Category aligned
3.84398e+18,Champions,Make Up,Store,85.9,634.37,571.18,9,Category and channel aligned
-3.17393e+18,Promising,Make Up,Store,85.9,617.53,580.3299999999999,17,Category and channel aligned
8.59699e+18,Recent,Make Up,Store,85.9,587.35,568.66,1,Category and channel aligned
-4.9879e+18,Recent,Others,Estore,85.9,586.23,490.68,25,New pattern to test
-8.75785e+18,Loyal,Make Up,Store,85.9,584.09,477.95000000000005,8,Category and channel aligned
-7.13209e+17,Loyal,Make Up,Store,85.9,580.05,494.36999999999995,4,Category and channel aligned
-8.0587e+18,Recent,Skincare,Store,85.9,574.67,504.61999999999995,4,Channel aligned
-3.8021e+18,Loyal,Skincare,Store,85.9,571.4,539.1,123,Channel aligned
-5.62498e+18,Loyal,Skincare,Estore,85.9,563.01,478.77,25,New pattern to test
-1.85588e+18,Loyal,Skincare,Estore,85.9,522.13,461.68,15,New pattern to test
4.68575e+18,Loyal,Skincare,Estore,85.9,516.09,543.34,5,New pattern to test
3.50998e+18,Loyal,Skincare,Estore,85.9,515.06,453.0799999999999,30,New pattern to test
-6.53149e+18,Loyal,Mixed Basket (Make Up + 1 others),Estore,85.9,475.77,444.16999999999996,16,New pattern to test
-5.01257e+18,Loyal,Make Up,Store,85.9,460.56,425.21,92,Category and channel aligned
2.5319e+18,Loyal,Skincare,Store,85.9,432.46,377.01,42,Channel aligned
-9.02483e+18,Need Attention,Fragrance,Store,85.9,412.0,712.0,14,Channel aligned
2.71781e+18,Loyal,Make Up,Store,85.9,411.46999999999997,394.77,14,Category and channel aligned
-8.69821e+18,Promising,Haircare,Estore,85.9,351.20000000000005,340.6,15,New pattern to test
-3.74797e+18,Loyal,Fragrance,Store,85.9,328.99,410.99,114,Channel aligned
-2.53741e+17,Loyal,Make Up,Store,85.9,283.07,338.27,163,Category and channel aligned
-4.14015e+18,Recent,Make Up,Store,85.9,280.19,273.69,153,Category and channel aligned
3.09061e+18,Potential Loyalist,Skincare,Store,85.9,250.15,373.35,11,Channel aligned
6.41726e+18,Recent,Mixed Basket (Fragrance + 2 others),Store,85.9,217.2,213.39999999999998,130,Channel aligned
-2.16327e+18,Recent,Make Up,Estore,85.9,201.07,196.39999999999998,1,Category aligned
2.63998e+18,Recent,Others,Store,85.9,186.65,214.4,14,Channel aligned
4.15004e+18,Recent,Make Up,Estore,85.9,185.75,211.81,39,Category aligned
1.01483e+18,Potential Loyalist,Haircare,Estore,85.9,171.99,170.49,27,New pattern to test
-7.696e+18,About to Sleep,Others,Store,85.9,47.980000000000004,77.98,187,Channel aligned
6.48001e+18,Champions,Skincare,Store,85.8,1109.83,1027.25,25,Channel aligned
6.07619e+17,Champions,Mixed Basket (Skincare + 3 others),Store,85.8,1079.16,1013.5500000000001,0,Channel aligned
-2.46387e+18,Promising,Make Up,Store,85.8,978.4,908.01,198,Category and channel aligned
2.24577e+17,Champions,Make Up,Store,85.8,888.3,832.81,11,Category and channel aligned
-1.8905e+18,Champions,Fragrance,Store,85.8,831.27,698.78,28,Channel aligned
-8.95045e+18,Champions,Skincare,Store,85.8,830.55,848.43,17,Channel aligned
6.14714e+18,Champions,Make Up,Store,85.8,697.12,634.91,12,Category and channel aligned
